title,year,language,genres,rt_score,rt_url,reason,added_to_radarr
Shoplifters,2018,Japanese,Crime|Drama|Adventure,99,https://www.rottentomatoes.com/m/shoplifters,Accepted: RT 99 meets threshold 90,false
Titane,2021,French,Horror|Mystery & Thriller|Drama,90,https://www.rottentomatoes.com/m/titane,Accepted: RT 90 meets threshold 80,false
Hiroshima mon amour,1960,French,Drama,96,https://www.rottentomatoes.com/m/hiroshima_mon_amour,Accepted: RT 96 meets threshold 85,false
Inherit the Wind,1960,English,Drama,93,https://www.rottentomatoes.com/m/inherit_the_wind,Accepted: RT 93 meets threshold 85,true
The Trials of Oscar Wilde,1960,English,Drama,100,https://www.rottentomatoes.com/m/the_trials_of_oscar_wilde,Accepted: RT 100 meets threshold 85,true
Rocco and His Brothers,1961,Italian,Drama,91,https://www.rottentomatoes.com/m/rocco_and_his_brothers,Accepted: RT 91 meets threshold 85,false
Jules and Jim,1962,French,Drama,94,https://www.rottentomatoes.com/m/jules_and_jim,Accepted: RT 94 meets threshold 85,false
David and Lisa,1962,English,Drama,85,https://www.rottentomatoes.com/m/david_and_lisa,Accepted: RT 85 meets threshold 85,true
Days of Wine and Roses,1962,English,Drama,100,https://www.rottentomatoes.com/m/days_of_wine_and_roses_1962,Accepted: RT 100 meets threshold 85,true
Divorce Italian Style,1962,Italian,Comedy,100,https://www.rottentomatoes.com/m/divorce_italian_style,Accepted: RT 100 meets threshold 85,false
Knife in the Water,1962,Polish,Drama,97,https://www.rottentomatoes.com/m/knife_in_the_water,Accepted: RT 97 meets threshold 85,false
The Spy Who Came in From The Cold,1966,English,Mystery & Thriller|Drama,86,https://www.rottentomatoes.com/m/the_spy_who_came_in_from_the_cold,Accepted: RT 86 meets threshold 85,true
Taking Off,1971,English,Comedy|Drama,100,https://www.rottentomatoes.com/m/taking_off,Accepted: RT 100 meets threshold 85,true
The Day of the Jackal,1973,English,Mystery & Thriller|Crime|Drama,91,https://www.rottentomatoes.com/m/the_day_of_the_jackal_1973,Accepted: RT 91 meets threshold 85,true
Don't Look Now,1973,English,Mystery & Thriller,93,https://www.rottentomatoes.com/m/dont_look_now,Accepted: RT 93 meets threshold 85,true
"Lacombe, Lucien",1974,French,Drama,100,https://www.rottentomatoes.com/m/lacombe_lucien,Accepted: RT 100 meets threshold 85,false
Murder on the Orient Express,1974,English,Mystery & Thriller,89,https://www.rottentomatoes.com/m/murder_on_the_orient_express,Accepted: RT 89 meets threshold 85,true
On Golden Pond,1982,English,Comedy|Drama,91,https://www.rottentomatoes.com/m/on_golden_pond,Accepted: RT 91 meets threshold 85,true
Local Hero,1983,English,Comedy,100,https://www.rottentomatoes.com/m/local_hero,Accepted: RT 100 meets threshold 85,true
Mona Lisa,1986,English,Mystery & Thriller|Comedy,98,https://www.rottentomatoes.com/m/mona_lisa,Accepted: RT 98 meets threshold 85,true
