title,year,notes
Bad Luck Banging or Loony Porn,2021,User blacklisted
Kill Bill: The Whole Bloody Affair,2025,User blacklisted
Belle de Jour,1967,Not wanted; low review confidence / low personal interest in the genre combo
Titane,2021,Not wanted; low review confidence / low personal interest in the genre combo
