title,year,language,genres,rt_score,rt_url,reason,source_list,classification_source,added_to_radarr
Ridicule,1996,French,Drama,80,https://www.rottentomatoes.com/m/ridicule,Accepted: RT 80 meets threshold 80,bafta_best_film_not_english_winner,radarr_lookup,false
Talk to Her,2002,Spanish,Drama|Romance,91,https://www.rottentomatoes.com/m/talk_to_her_2002,Accepted: RT 91 meets threshold 90,bafta_best_film_not_english_winner,radarr_lookup,false
Hiroshima mon amour,1960,French,Drama,96,https://www.rottentomatoes.com/m/hiroshima_mon_amour,Accepted: RT 96 meets threshold 85,bafta_best_film,radarr_lookup,false
Rocco and His Brothers,1961,Italian,Drama,91,https://www.rottentomatoes.com/m/rocco_and_his_brothers,Accepted: RT 91 meets threshold 85,bafta_best_film,radarr_lookup,false
Jules and Jim,1962,French,Drama,94,https://www.rottentomatoes.com/m/jules_and_jim,Accepted: RT 94 meets threshold 85,bafta_best_film,radarr_lookup,false
Divorce Italian Style,1962,Italian,Comedy,100,https://www.rottentomatoes.com/m/divorce_italian_style,Accepted: RT 100 meets threshold 85,bafta_best_film,radarr_lookup,false
Knife in the Water,1962,Polish,Drama,97,https://www.rottentomatoes.com/m/knife_in_the_water,Accepted: RT 97 meets threshold 85,bafta_best_film,radarr_lookup,false
Blades of the Guardians,2026,Chinese,Action|Drama|Mystery & Thriller,96,https://www.rottentomatoes.com/m/blades_of_the_guardians,Accepted: RT 96 meets threshold 80,rt_browse_movies_in_theaters_fresh,radarr_lookup,false
"4 Months, 3 Weeks and 2 Days",2008,Romanian,Drama,96,https://www.rottentomatoes.com/m/4_months_3_weeks_and_2_days,Accepted: RT 96 meets threshold 90,metacritic_browse_1978_plus,radarr_lookup,false
Do Not Expect Too Much From the End of the World,2024,Romanian,Comedy|Drama,96,https://www.rottentomatoes.com/m/do_not_expect_too_much_from_the_end_of_the_world,Accepted: RT 96 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
Inside the Yellow Cocoon Shell,2024,Vietnamese,Drama,94,https://www.rottentomatoes.com/m/inside_the_yellow_cocoon_shell,Accepted: RT 94 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
All We Imagine as Light,2024,Malayalam,Drama,100,https://www.rottentomatoes.com/m/all_we_imagine_as_light,Accepted: RT 100 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
No Bears,2022,Persian,Drama|Romance,99,https://www.rottentomatoes.com/m/no_bears,Accepted: RT 99 meets threshold 80,metacritic_browse_1978_plus,radarr_lookup,false
