title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Aftersun,2022,aftersun,aftersun|2022,65e780771fdef82fe8981a8a39982ca6,965150,tt19770238
Airplane!,1980,airplane,airplane|1980,0bdb1107ac47566b123925a4a1a6fbaa,813,tt0080339
Aladdin and the King of Thieves (1996),1996,aladdin and the king of thieves,aladdin and the king of thieves|1996,1288dc6d26431e34a5dc674db9b23357,11238,tt0115491
Aladdin (1992),1992,aladdin,aladdin|1992,dc755655bd7f75d2a1138ac2120361e4,812,tt0103639
Alexander (2004),2004,alexander,alexander|2004,2a425845b066e7e2a2b914c37978eebd,1966,tt0346491
Alice in Wonderland,1951,alice in wonderland,alice in wonderland|1951,bcad9bca7e4798d303897e4ce1a53ca7,12092,tt0043274
Alice in Wonderland (2010),2010,alice in wonderland,alice in wonderland|2010,e8f55b75d72f1ae0d23997fbc5787801,12155,tt1014759
Alien- Romulus (2024),2024,alien romulus,alien romulus|2024,5d20c56fbe5936f51f92d7d059cefcd7,945961,tt18412256
Alien,1979,alien,alien|1979,5faa127e14379d6663e9370c38717976,348,tt0078748
All About My Mother (1999),1999,all about my mother,all about my mother|1999,f2321575a9d5006b8e060a2521319d6f,99,tt0185125
All Is Lost,2013,all is lost,all is lost|2013,2e7b7601277a1ec8cdfc0da9511a7e48,152747,tt2017038
All of Us Strangers,2023,all of us strangers,all of us strangers|2023,585bc086081e2ec98533f37a9f9182db,994108,tt21192142
All Quiet on the Western Front (2022),2022,all quiet on the western front,all quiet on the western front|2022,cd99492fecf466c67291609628eada45,49046,tt1016150
All the King's Men,1949,all the kings men,all the kings men|1949,8da74eaea7aa7141e174ecd70a44480f,25430,tt0041113
All the President's Men,1976,all the presidents men,all the presidents men|1976,176f0d6bbb26c0d3d553bea64bcf8c81,891,tt0074119
All the Way (2016),2016,all the way,all the way|2016,e6d24cdd42bb44ceb336f56dfcccbb1f,347123,tt3791216
All Things Must Pass (2015),2015,all things must pass,all things must pass|2015,2b28241b8d3928e8d561abf4513e5509,324253,tt3272570
Allen Sunshine (2024),2024,allen sunshine,allen sunshine|2024,a35feaa2aaca6e31c2cc80decc6879c4,1027801,tt21965874
Almost Famous,2000,almost famous,almost famous|2000,c6abd42251980143f1834b48d445a687,786,tt0181875
Aloha Scooby-Doo! (2005),2005,aloha scooby doo,aloha scooby doo|2005,ab04843e9f33dc8bb2129f654ad54887,24615,tt0433771
Along Came Love (2023),2023,along came love,along came love|2023,5ccdf65bfd88ab250c6c401b26545012,820696,tt16969006
