title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Dredd (2012),2012,dredd,dredd|2012,506e3e416425000c524af3ae164383c7,49049,tt1343727
Dressed to Kill (1980),1980,dressed to kill,dressed to kill|1980,e5778720b8d8aa47cbe8d64c498fd0c8,11033,tt0080661
Drive My Car,2021,drive my car,drive my car|2021,9c8769e868d2001e5e344575b58cdac4,758866,tt14039582
Drive,2011,drive,drive|2011,4cb312db96c55a18f4fab08d7bdf18f3,64690,tt0780504
Driving Madeleine (2022),2022,driving madeleine,driving madeleine|2022,dc5d6f3fce39de00ce78925b060b1b7f,893372,tt14586118
Driving Miss Daisy,1989,driving miss daisy,driving miss daisy|1989,48b1485ea823c7d20bb47b64626d212a,403,tt0097239
Drug War,2012,drug war,drug war|2012,551f991caf414137a50f480948be6889,110410,tt2165735
Drunken Master,1978,drunken master,drunken master|1978,1b39c3d7ec02a7aba672715684fe4edd,11230,tt0080179
DuckTales: The Movie - Treasure of the Lost Lamp,1990,ducktales the movie treasure of the lost lamp,ducktales the movie treasure of the lost lamp|1990,cbb1162674f1070310dca6222a14aa94,10837,tt0099472
Duel,1971,duel,duel|1971,6ae0b61652d2f614507ecd31b1c030ea,839,tt0067023
Dumb and Dumber (1994),1994,dumb and dumber,dumb and dumber|1994,5fd365c016bf0a1bdcae7b99a8d715c7,8467,tt0109686
Dune (2021),2021,dune,dune|2021,feaae52d5b729c65dbccf3c89983a2ca,438631,tt1160419
E.T. the Extra-Terrestrial,1982,e t the extra terrestrial,e t the extra terrestrial|1982,70f82b097d7d671380cb2e5fccd636d1,601,tt0083866
East Is East (1999),1999,east is east,east is east|1999,20795c0ea0b3abb7abe8b7dc19ceefaa,10557,tt0166175
Eastern Promises (2007),2007,eastern promises,eastern promises|2007,99716c71c9ddcfa92084f2856768cc49,2252,tt0765443
Easy A (2010),2010,easy a,easy a|2010,79687312b082b5d140c6a038a7afb07a,354261,tt1753712
Ed Wood (1994),1994,ed wood,ed wood|1994,294d08ef2448e25dec862cf5af6ea42b,522,tt0109707
Eden,2013,eden,eden|2013,a751d8ca0f9f6290adc49f1e87738d2b,96599,tt1734433
The Edge of Love (2008),2008,edge of love,edge of love|2008,9f6daae040d8940a68bc4890b0c530b1,14061,tt0819714
Edge of Tomorrow (2014),2014,edge of tomorrow,edge of tomorrow|2014,6a712294bcb51884ddfdd06aa9445d63,137113,tt1631867
An Education,2009,education,education|2009,8107c6b08c6ae15ad12bcc1c1782568f,24684,tt1174732
Edward Scissorhands,1990,edward scissorhands,edward scissorhands|1990,6e8a80069e121d0a4f5daa593cf1edbe,162,tt0099487
Eight Below (2006),2006,eight below,eight below|2006,7dedf0716e411f42390ddfe0486de1f4,9036,tt0397313
Eighth Grade,2018,eighth grade,eighth grade|2018,0a95bac0d2a6c16b0a126adf91f54045,489925,tt7014006
El Mariachi,1993,el mariachi,el mariachi|1993,b40d27d342a973c92d7761b6b6e78961,9367,tt0104815
Election,1999,election,election|1999,96e4a0b0105826f8ed8046b880b0dad2,9451,tt0126886
Elektra (2005),2005,elektra,elektra|2005,1006733b81af115fa09eca8bd79d1816,9947,tt0357277
The Elephant Man (1980),1980,elephant man,elephant man|1980,88b1c8fab86bbed36140130d5fed4abe,1955,tt0080678
Elizabethtown (2005),2005,elizabethtown,elizabethtown|2005,805b0565f2a90f9ff27c046164434717,9621,tt0368709
Elvis & Nixon (2016),2016,elvis and nixon,elvis and nixon|2016,61f85df9c16fd121d3b7617c45871b9a,301348,tt2093991
Emily the Criminal,2022,emily the criminal,emily the criminal|2022,a95c2aec2d9ab6c847aec03a840b74a8,862965,tt15255876
Empire of the Sun (1987),1987,empire of the sun,empire of the sun|1987,1b2e245c2fff1318d3795a9bea28fc84,10110,tt0092965
The Empire Strikes Back,1980,empire strikes back,empire strikes back|1980,ab346982ccab592ae513ecb3612244ae,1891,tt0080684
End of Watch (2012),2012,end of watch,end of watch|2012,96426d5fcf1e0dc31f48f30e6fe0a99b,77016,tt1855199
Ender's Game (2013),2013,enders game,enders game|2013,05f7a72cddecae9b6645c0d5c1e9fabb,80274,tt1731141
Endgame,2009,endgame,endgame|2009,3813b1f971bc832e93265630189a14c9,15102,tt1217616
Enemy at the Gates (2001),2001,enemy at the gates,enemy at the gates|2001,35185de9df1172a64e97c41987c58594,853,tt0215750
Enemy of the State (1998),1998,enemy of the state,enemy of the state|1998,fd6ad6ae1c334281a432d3e6fa6d1fe4,9798,tt0120660
Enemy,2014,enemy,enemy|2014,5c3991911237df217cfe21ddc1465b3c,181886,tt2316411
The English Patient,1996,english patient,english patient|1996,63e8c238f490ae9f53ab3075be50ae69,409,tt0116209
Enigma (2001),2001,enigma,enigma|2001,0773e1e879d8f9e5608da271f48252fe,10491,tt0157583
The Equalizer (2014),2014,equalizer,equalizer|2014,4ce9c617f77f8375cfe9308b0c6e3c5b,156022,tt0455944
Equilibrium (2002),2002,equilibrium,equilibrium|2002,070b6f6fb976faad0b03c0f53e931105,7299,tt0238380
Erin Brockovich (2000),2000,erin brockovich,erin brockovich|2000,6e87b3c056c5dcac904895161fcb72a3,462,tt0195685
Ernest & Celestine,2012,ernest and celestine,ernest and celestine|2012,3440a620abe67453cf135e01972b7af5,126319,tt1816518
Escape from Alcatraz,1979,escape from alcatraz,escape from alcatraz|1979,d6c24092065ef0527a779bc905f1992e,10734,tt0079116
Escape from Sobibor (1987),1987,escape from sobibor,escape from sobibor|1987,5b3cb5ace0ae32c3625af42063ed3045,25318,tt0092978
Eternal Sunshine of the Spotless Mind,2004,eternal sunshine of the spotless mind,eternal sunshine of the spotless mind|2004,4ef3362c417d28b2ef4774a84d6ff892,38,tt0338013
Europa Report (2013),2013,europa report,europa report|2013,3b2f74b5aab7880e7f3c2b233cb05240,174772,tt2051879
EuroTrip (2004),2004,eurotrip,eurotrip|2004,557add564d3244b6db8e83571333eba0,9352,tt0356150
Everest,2015,everest,everest|2015,8b8caf56e00abd10134b3e5cc42337ae,253412,tt2719848
Everything Everywhere All at Once,2022,everything everywhere all at once,everything everywhere all at once|2022,d4659f4ecfc0c6904a87521c2ce858d9,545611,tt6710474
Evil Dead II (1987),1987,evil dead ii,evil dead ii|1987,40ca8972c457b8c6b636cd010c688d5c,765,tt0092991
The Evil Dead (1981),1981,evil dead,evil dead|1981,9d9e6e2a574731d74cbcbb28b69fe1de,764,tt0083907
Ex Machina,2015,ex machina,ex machina|2015,f2530f9eed8f5300721d884fce552816,264660,tt0470752
The Exorcist (1973),1973,exorcist,exorcist|1973,e4f2ce1b8d68ad34090b503dd613e3ed,9552,tt0070047
The Expendables (2010),2010,expendables,expendables|2010,74a05f90412e743254aad4ec2aa4e791,27578,tt1320253
Eye in the Sky (2015),2015,eye in the sky,eye in the sky|2015,e114811b558d08ce0eeaab5d9b53d22f,333352,tt2057392
Eyes Wide Shut,1999,eyes wide shut,eyes wide shut|1999,1e67977569bafe2709b84ab288772496,345,tt0120663
Ezra (2024),2023,ezra,ezra|2023,368e5b14ae89fdc9620a11eb8facd024,977262,tt20315818
F1,2025,f1,f1|2025,e2e8541f9453ca6b497dac510d4bcf7b,911430,tt16311594
The Fabelmans,2022,fabelmans,fabelmans|2022,893430a2dcd1ba61eb9914f373799493,804095,tt14208870
Face/Off,1997,face off,face off|1997,2897034df25798ff18dc5df2085036f6,754,tt0119094
Fahrenheit 9+11 (2004),2004,fahrenheit 9 11,fahrenheit 9 11|2004,773d22a6cfb952fa036016b9435c7615,1777,tt0361596
Fail Safe (1964),1964,fail safe,fail safe|1964,67ae226a868f70fb7fccc1020fc9ecb4,502,tt0058083
Failure to Launch (2006),2006,failure to launch,failure to launch|2006,464db3540b938a1c0d6c69096d7b2f43,6877,tt0427229
Fallen (1998),1998,fallen,fallen|1998,d2bd315499def0e6d35e80213d7490e8,9411,tt0119099
Falling Down (1993),1993,falling down,falling down|1993,50041470e9236c1ab57f9154a78c7cc6,37094,tt0106856
The Family Stone (2005),2005,family stone,family stone|2005,68c0034446d68aaad048a1a205538fc2,9043,tt0356680
The Fantastic 4: First Steps,2025,fantastic 4 first steps,fantastic 4 first steps|2025,e3d4d6e17cabff5c9b15d366ce6e8a43,617126,tt10676052
Fantastic Beasts and Where to Find Them (2016),2016,fantastic beasts and where to find them,fantastic beasts and where to find them|2016,ed0ba927eca987a0ad94dfbdace6cc90,259316,tt3183660
Fantastic Beasts- The Crimes of Grindelwald (2018),2018,fantastic beasts the crimes of grindelwald,fantastic beasts the crimes of grindelwald|2018,fdafd474a1f4b1c5f11da5337e3a10ae,338952,tt4123430
Fantastic Four (2015),2015,fantastic four,fantastic four|2015,dcb149a923aed07806a2f1a158c0b7b5,166424,tt1502712
Fantastic Mr. Fox (2009),2009,fantastic mr fox,fantastic mr fox|2009,fed6843a7cd6ca688c85b076d7e803fc,10315,tt0432283
Far from the Madding Crowd (2015),2015,far from the madding crowd,far from the madding crowd|2015,97b7700c1adc573eb0da96c113d251d7,250734,tt2935476
The Farewell,2019,farewell,farewell|2019,e7c4f89760d8b9adb0574cd60f161d42,565310,tt8637428
Fargo,1996,fargo,fargo|1996,a613fe7bde834bb46046a3be14eb1399,275,tt0116282
The Fast and the Furious- Tokyo Drift (2006),2011,fast and the furious tokyo drift,fast and the furious tokyo drift|2011,569715affe98d909816ebe043a984526,9615,tt0463985
The Fast and the Furious (2001),2001,fast and the furious,fast and the furious|2001,7432a757ec7d835fdf1aa4a98e7c8af2,9799,tt0232500
Fast Five (2011),2011,fast five,fast five|2011,6a7c9fd0621258374590f64362dced26,51497,tt1596343
Fatal Attraction (1987),1987,fatal attraction,fatal attraction|1987,21f60888451deac6599b9e3df947ba25,10998,tt0093010
The Father (2020),2020,father,father|2020,3993b498f5fb1a7d959531ded532dc2a,600354,tt10272386
The Fault in Our Stars (2014),2014,fault in our stars,fault in our stars|2014,0b0eada5d5e9825aa18effb207ec2a81,222935,tt2582846
The Favourite,2018,favourite,favourite|2018,2473c6ae6ee7e15231bb6a23f287a6fa,375262,tt5083738
Fear and Loathing in Las Vegas (1998),1998,fear and loathing in las vegas,fear and loathing in las vegas|1998,197c4011bcec9de69e491cb86bbef165,1878,tt0120669
Fed Up (2014),2014,fed up,fed up|2014,5f6a1b099486882b1b7761ed00838471,250657,tt2381335
Fences,2016,fences,fences|2016,3996da408a7559f4559103952fefb9be,393457,tt2671706
Ferris Bueller's Day Off,1986,ferris buellers day off,ferris buellers day off|1986,a3c54d5723c20412a66c06a61687d897,9377,tt0091042
Fever Pitch (2005),2005,fever pitch,fever pitch|2005,306fdaf6fb535b04cf49940a4ab44363,11431,tt0332047
A Few Good Men (1992),1992,few good men,few good men|1992,82d2466fddcb4dfd4b87b3cac4135a65,881,tt0104257
Field of Dreams (1989),1989,field of dreams,field of dreams|1989,f1522b86696bfb07bc9697b86b48296f,2323,tt0097351
The Fifth Element (1997),1997,fifth element,fifth element|1997,e79d496536855c3323c1c01d6d20d359,18,tt0119116
Fight Club,1999,fight club,fight club|1999,b1f231593a05a5074c5fbb64862ad05e,550,tt0137523
The Fighter (2010),2010,fighter,fighter|2010,7827c49889aba567d219a334d06b2bd0,45317,tt0964517
Final Destination 2,2003,final destination 2,final destination 2|2003,31acaa94e18852b21a67ba6b64030f67,9358,tt0309593
Final Destination 3,2006,final destination 3,final destination 3|2006,2b4682e808ff10b1074c6ddfdec08aa7,9286,tt0414982
Final Destination 5,2011,final destination 5,final destination 5|2011,5c11230cb65239617ee0a1e22d140538,55779,tt1622979
Final Destination,2000,final destination,final destination|2000,2475cf2187ba30818c74319b83ea1b4d,9532,tt0195714
The Final Destination (2009),2009,final destination,final destination|2009,23a676f161e412afcaba7b9bf73012e1,19912,tt1144884
Final Fantasy VII- Advent Children (2005),2005,final fantasy vii advent children,final fantasy vii advent children|2005,8715e86fb9b11db2faceb889128f0c62,647,tt0385700
Finch (2021),2021,finch,finch|2021,24332d8743d29c55956e3dd8a61fef43,522402,tt3420504
Find Me Guilty (2006),2006,find me guilty,find me guilty|2006,050f3253bc1c9741f271cee256eef87f,9950,tt0419749
Finding Dory (2016),2016,finding dory,finding dory|2016,0b6177923d6a15631702fda7443f0a55,127380,tt2277860
Finding Nemo,2003,finding nemo,finding nemo|2003,7cfc163700636d316d2b899b95a0571a,12,tt0266543
Finding Neverland (2004),2004,finding neverland,finding neverland|2004,2c51e096ce6839574ae6936e6eb562d6,866,tt0308644
The Finest Hours (2016),2016,finest hours,finest hours|2016,524dd658f0c305d49ef8d6b70b395909,300673,tt2025690
Firestarter (1984),1984,firestarter,firestarter|1984,eaf98186b8af9200eb2c05485ece2766,11495,tt0087262
Firewall (2006),2006,firewall,firewall|2006,23ca4a7d29b59bc0eb1aaf081aae6ad1,9754,tt0408345
The Firm (1993),1993,firm,firm|1993,2c18a7ff8fc34eef04d77801eba0a948,37233,tt0106918
First Blood (1982),1982,first blood,first blood|1982,946c62f99e01c0b5fcf16d98937820f1,1368,tt0083944
First Cow,2020,first cow,first cow|2020,1a2bf2f1216d1781cc3fc4ee65ddf052,558582,tt9231040
First Man,2018,first man,first man|2018,3dbaad17c1c35036200a9217db67cee1,369972,tt1213641
First Position (2011),2011,first position,first position|2011,730922829d5ee8fe221e3e7f6910964b,89874,tt2008513
A Fish Called Wanda,1988,fish called wanda,fish called wanda|1988,a54bcd895fbe299270c0d565f9e4f23f,623,tt0095159
Five Easy Pieces,1970,five easy pieces,five easy pieces|1970,83a64ddd1abdd14b00978649b7425794,26617,tt0065724
Five Minutes of Heaven (2009),2009,five minutes of heaven,five minutes of heaven|2009,347d873f221df6a0d5487b87dada14b6,16759,tt1238291
Five Nights at Freddy's (2023),2023,five nights at freddys,five nights at freddys|2023,c63b8d08efe67dd75be31164662c70f4,507089,tt4589218
Flags of Our Fathers (2006),2006,flags of our fathers,flags of our fathers|2006,39bcbed10f88f1637810ff3c358af2e7,3683,tt0418689
The Flash (2023),2023,flash,flash|2023,bdcf6d4c21f559d959859de4682d0225,298618,tt0439572
Flight,2012,flight,flight|2012,d52da8269aa502fbbce153cac45279aa,87502,tt1907668
Flightplan (2005),2005,flightplan,flightplan|2005,3c5ef6c95bfebe4b479b8996f7c1d77c,9315,tt0408790
The Florence Foster Jenkins Story (2016),2016,florence foster jenkins story,florence foster jenkins story|2016,3dadfc5519478f71bee5612941a76f62,315664,tt4136084
The Florida Project,2017,florida project,florida project|2017,361f035845d4bc07497dbfd97992e08f,394117,tt5649144
Flushed Away (2006),2006,flushed away,flushed away|2006,b645a909dc6f0644b81592d783855b28,11619,tt0424095
Focus (2015),2015,focus,focus|2015,0a31dff8399a19347796bcd568622451,256591,tt2381941
Following (1999),1998,following,following|1998,064aec32a2be544f8e8e1e3240e54fa8,11660,tt0154506
Fools Rush In (1997),1997,fools rush in,fools rush in|1997,273c68dec6b4b6e1ec16bc384427e820,1968,tt0119141
For a Few Dollars More (1965),1965,for a few dollars more,for a few dollars more|1965,674e354867eb77a39cb838474d0e1433,938,tt0059578
For Your Eyes Only (1981),1981,for your eyes only,for your eyes only|1981,f773bd740543a3bb99e17499832f7208,699,tt0082398
Ford v Ferrari,2019,ford v ferrari,ford v ferrari|2019,26094972a962032283f8bf57e38bfe43,359724,tt1950186
The Forgotten,2004,forgotten,forgotten|2004,45063fd211bf1a35f762c77cd3cea365,10145,tt0356618
Forrest Gump (1994),1994,forrest gump,forrest gump|1994,69a7283f3fc1640fec438ba1e0e6a4e4,13,tt0109830
Four Weddings and a Funeral (1994),1994,four weddings and a funeral,four weddings and a funeral|1994,f2f071421f1af172a646f47720075d2c,712,tt0109831
The Fourth Kind (2009),2009,fourth kind,fourth kind|2009,09205d77aa93d6aa43ba54851c895b49,22824,tt1220198
The Fourth Phase (2016),2016,fourth phase,fourth phase|2016,fce555a138d46b37c426e1dd6d5d5e8f,369237,tt5226436
Foxcatcher (2014),2014,foxcatcher,foxcatcher|2014,b185e1e325dc2bc6579ca1b166394df7,87492,tt1100089
Fracture (2007),2007,fracture,fracture|2007,e2962d70494e78236f1bd73f6514a972,6145,tt0488120
Frances Ha (2013),2012,frances ha,frances ha|2012,b4151ee73b90ae49ad986a3234c457f3,121986,tt2347569
Frank (2014),2014,frank,frank|2014,ac60f36bad5e5a472ee420e53799d8e9,171372,tt1605717
Frankenstein,2025,frankenstein,frankenstein|2025,9195c267f7e8d514959dea3951c0fd36,1062722,tt1312221
Frankenweenie (2012),2012,frankenweenie,frankenweenie|2012,fd591cfdeb4ec3811588223fe8af3adf,62214,tt1142977
Frantic (1988),1988,frantic,frantic|1988,f6ab6281a20ef439f6a3751545c7b299,10675,tt0095174
Freaky Friday (2003),2003,freaky friday,freaky friday|2003,5b49e78cdd8bfe0e27fb9b02a5bbb9c6,10330,tt0322330
Freedom Writers (2007),2007,freedom writers,freedom writers|2007,d7b5d2728b03c55f1f034f7dbd0ef586,1646,tt0463998
Freetown (2015),2015,freetown,freetown|2015,ee181a33455213b946a05f31fccb9665,305044,tt3735554
"The French Dispatch of the Liberty, Kansas Evening Sun (2021)",2021,french dispatch of the liberty kansas evening sun,french dispatch of the liberty kansas evening sun|2021,2d32483b5823a395c9e0a4b50db6c69d,542178,tt8847712
French Kiss (1995),1995,french kiss,french kiss|1995,fe3169fd6e1dd2e63ec0f5348df862a1,397,tt0113117
Frequencies (2013),2013,frequencies,frequencies|2013,00802ec8304a0b8f349d5c31664a092d,218425,tt2414766
Friday Night Lights (2004),2004,friday night lights,friday night lights|2004,bc1aa54e42d95b10f3e424dd4b81d831,13416,tt0390022
Friends with Money (2006),2006,friends with money,friends with money|2006,b76854ce1966e89ab96ada50c2ebd09d,8998,tt0436331
From Dusk Till Dawn,1996,from dusk till dawn,from dusk till dawn|1996,3fe03221602edef39919daf912873bc7,755,tt0116367
From Paris with Love (2010),2010,from paris with love,from paris with love|2010,e70556dbf77612e8ddb2b1528fe0cf94,26389,tt1179034
From Russia with Love,1963,from russia with love,from russia with love|1963,72c7db44e69de0f9b2037c551dffd73e,657,tt0057076
From Up on Poppy Hill (2011),2011,from up on poppy hill,from up on poppy hill|2011,8f88aae13226b9fb81cd2353a537f5a6,83389,tt1798188
The Frozen Ground (2013),2013,frozen ground,frozen ground|2013,80452974cede5ebf7ab99d14f2cc1852,199373,tt2005374
Frozen,2013,frozen,frozen|2013,c26a97144a445c04718f29a19c73e630,109445,tt2294629
The Fugitive (1993),1993,fugitive,fugitive|1993,52c72ec9789b88f66f8005e233213a8b,5503,tt0106977
Full Frontal (2002),2002,full frontal,full frontal|2002,db0ac3f04da2ffef257e48d12f3f601e,15186,tt0290212
Full Metal Jacket,1987,full metal jacket,full metal jacket|1987,69dad450b956090950118c9ae74b6968,600,tt0093058
The Full Monty,1997,full monty,full monty|1997,c3caf62aeefd983e3d00300e49087945,9427,tt0119164
Fun with Dick and Jane (2005),2005,fun with dick and jane,fun with dick and jane|2005,73a5342e9819e2104b6d51e45237aa45,7552,tt0369441
Funny People (2009),2009,funny people,funny people|2009,2c7931992776e02336f753fbe9371ee4,20829,tt1201167
Fury,2014,fury,fury|2014,46e8c04d654b132323ba5d278d559bf0,228150,tt2713180
The Game (1997),1997,game,game|1997,8334b48a7ea94725c0f44afdafafa060,2649,tt0119174
Gandhi,1982,gandhi,gandhi|1982,b32cfad693d38e040f8290ad49cc008d,783,tt0083987
Gangs of New York (2002),2002,gangs of new york,gangs of new york|2002,086bc9ca9607a940bf1ec71fd58771a7,3131,tt0217505
Garden State (2004),2004,garden state,garden state|2004,a58843ede7aded8ee3bc4618cd769602,401,tt0333766
Garfield- A Tail of Two Kitties (2006),2006,garfield a tail of two kitties,garfield a tail of two kitties|2006,afe78426ba5d4bcaec1acc88a9aaaa93,9513,tt0455499
Garfield (2004),2004,garfield,garfield|2004,475c6aa1653a7e3a7419f6acbd66c4c8,8920,tt0356634
The Gatekeepers (2012),2012,gatekeepers,gatekeepers|2012,5e37171c4997f66dec0a8da1a1bed8ea,127918,tt2309788
Gattaca (1997),1997,gattaca,gattaca|1997,20e47b115826100fb6e1a10afd2f31d9,782,tt0119177
Get a Clue (2002),2002,get a clue,get a clue|2002,b7efadfab187862c1156dd642c3896a3,26189,tt0282521
Get on Up (2014),2014,get on up,get on up|2014,3fe8b09eb0dc5171547450daeb5685cb,239566,tt2473602
Get Out,2017,get out,get out|2017,347e05fbf83d76746ca89f07b6850480,419430,tt5052448
Get Smart (2008),2008,get smart,get smart|2008,335fd2a0d3142e2631787187991b1793,11665,tt0425061
Gett- The Trial of Viviane Amsalem (2014),2014,gett the trial of viviane amsalem,gett the trial of viviane amsalem|2014,b2a4531743d289d253414daff90b892b,270403,tt3062880
Getting Played (2005),2006,getting played,getting played|2006,250164e8d0db0269fb776c66174afda3,18307,tt0396032
Ghost Game (2024),2024,ghost game,ghost game|2024,9f0d87f804aaf35d2e85a2c79cf700ad,1249385,tt29341577
Ghost in the Shell (1995),1995,ghost in the shell,ghost in the shell|1995,cb86c145cb1ab4b85c6f57c7e2235887,9323,tt0113568
A Ghost Story,2017,ghost story,ghost story|2017,4d4d41c2af166e236d352c5c073ec30c,428449,tt6265828
The Ghost Writer (2022),2022,ghost writer,ghost writer|2022,cc13c20f11f291a1e0ffecc562753219,1002258,tt5244196
Ghostbusters: Frozen Empire,2024,ghostbusters frozen empire,ghostbusters frozen empire|2024,70e95092023350368880993e94b413d6,967847,tt21235248
Ghostbusters II,1989,ghostbusters ii,ghostbusters ii|1989,3b73f2794455ff482ff8e1732b288145,2978,tt0097428
Ghostbusters,1984,ghostbusters,ghostbusters|1984,8e779d3b67421dffff7e4b5a2814c5fd,620,tt0087332
Ghostbusters,2016,ghostbusters,ghostbusters|2016,48574a7d20fe54c1d18c94b2a88bedf4,43074,tt1289401
Ghosts of Girlfriends Past (2009),2009,ghosts of girlfriends past,ghosts of girlfriends past|2009,7e2e4affeb08261c9b108564131bad54,12556,tt0821640
The Girl in the Book (2015),2015,girl in the book,girl in the book|2015,64a6aea4716751075ca92161725a247c,339145,tt2980554
"Girl, Interrupted (1999)",1999,girl interrupted,girl interrupted|1999,86ea252a870e07929e367f5d8dc63089,3558,tt0172493
The Girl Next Door (2007),2007,girl next door,girl next door|2007,69db4eec50913fe571d7b63f9a90d69e,15356,tt0830558
A Girl Walks Home Alone at Night (2014),2014,girl walks home alone at night,girl walks home alone at night|2014,afba18edda9795347b096c1dceff851a,252171,tt2326554
The Girl with the Dragon Tattoo (2009),2009,girl with the dragon tattoo,girl with the dragon tattoo|2009,4d838421f677c3bf8d014c848db85632,15472,tt1132620
Gladiator (2000),2000,gladiator,gladiator|2000,a27e7e6588f647ab77464c8182303b01,98,tt0172495
Glengarry Glen Ross,1992,glengarry glen ross,glengarry glen ross|1992,9f7ca1311a14e637b2a86a6fca5e90ae,9504,tt0104348
Gloria (2013),2013,gloria,gloria|2013,59ebda859f5dc146356e09f99314a489,160068,tt2425486
Glory (1989),1989,glory,glory|1989,2d8d19a8c919f303d2ebd8a90c5e17cb,9665,tt0097441
Goal! (2005),2005,goal,goal|2005,e3af4467d6c2ec3b682be867bc2b2d25,9763,tt0380389
The Godfather Part II,1974,godfather part ii,godfather part ii|1974,0e52714f12a7dd0c352e03617545fdb1,240,tt0071562
The Godfather Part III,1990,godfather part iii,godfather part iii|1990,a12c27bf31f7bf907a04c830ba0bf294,242,tt0099674
The Godfather,1972,godfather,godfather|1972,935d32166636b1537a5e15476b17230e,238,tt0068646
Gods and Monsters (1998),1998,gods and monsters,gods and monsters|1998,7f865c212c48075cee5c2f161cc81fd0,3033,tt0120684
The Gods Must Be Crazy II,1989,gods must be crazy ii,gods must be crazy ii|1989,2d3a72c2f69b9cc67f0f83807eb3eeb6,11937,tt0097443
The Gods Must Be Crazy (1980),1980,gods must be crazy,gods must be crazy|1980,c99a40129d72329783f373d9035e901e,8393,tt0080801
God's Not Dead (2014),2014,gods not dead,gods not dead|2014,54b45c9d8397241d9f33c7dfab57a280,249660,tt2528814
Godzilla (2014),2014,godzilla,godzilla|2014,83fde9d3b6f96b678d8860cdc316cd09,124905,tt0831387
GoldenEye (1995),1995,goldeneye,goldeneye|1995,1c6a716f48a9e78b9ec142cb38206a5d,710,tt0113189
Gone Baby Gone,2007,gone baby gone,gone baby gone|2007,89fbfcb94d61b71f55c8fedcfed0c42a,4771,tt0452623
Gone Girl (2014),2014,gone girl,gone girl|2014,ddb530e1940b229a95ad0d1e8aeacb3c,210577,tt2267998
Gone in Sixty Seconds (2000),2000,gone in sixty seconds,gone in sixty seconds|2000,c448797e30e289cefb1c1f0cf394944f,9679,tt0187078
The Good Lie (2014),2014,good lie,good lie|2014,f2695123c8fba727cae29364b578a55d,250538,tt2652092
"Good Morning, Vietnam",1987,good morning vietnam,good morning vietnam|1987,a749450981da1f88c36fe7a67c19d741,801,tt0093105
"Good Night, and Good Luck (2025)",2025,good night and good luck,good night and good luck|2025,09543cfd240893106175e417420c02da,1481851,tt13286652
"The Good, the Bad and the Ugly",1966,good the bad and the ugly,good the bad and the ugly|1966,ba8e40a0122dfdaa0e51fe0fcce2c414,429,tt0060196
"The Good, the Bad, the Weird (2008)",2008,good the bad the weird,good the bad the weird|2008,086ee3ffa52e25fc1eea19f5a15d3bf6,15067,tt0901487
Good Will Hunting,1997,good will hunting,good will hunting|1997,ff79a355de63902877ae65800757e65d,489,tt0119217
GoodFellas,1990,goodfellas,goodfellas|1990,3fd78b8c2bac2117e5ca68e955dce820,769,tt0099685
Gothika (2003),2003,gothika,gothika|2003,a1e9e49ef885c2ee41110bb3ba0f0a55,4970,tt0348836
The Graduate (1967),1967,graduate,graduate|1967,eb5f9e6c168e3745d90a4b073f3c745a,37247,tt0061722
Gran Torino (2008),2008,gran torino,gran torino|2008,c411d45e58f9ee9b3aae49b5b24cb28b,13223,tt1205489
The Grand Budapest Hotel (2014),2014,grand budapest hotel,grand budapest hotel|2014,68401b030b1bee99f080b38e6fbc9a14,120467,tt2278388
A Grand Day Out (1990),1989,grand day out,grand day out|1989,216209b9560c55e32c2a31a94487fb9d,530,tt0104361
Grand Piano (2013),2013,grand piano,grand piano|2013,b1a767511227ec7a09a2a9ded4cbe9b6,220286,tt2039345
The Grand Seduction (2014),2013,grand seduction,grand seduction|2013,ea0eef5a4c240fcf9dd1a132e700e65e,209185,tt2319580
The Grandmaster (2013),2013,grandmaster,grandmaster|2013,cb2d5b00167bddd002a7d310f443db0a,44865,tt1462900
Grave of the Fireflies,1988,grave of the fireflies,grave of the fireflies|1988,a0d616cd6c389698d74021c00c841c07,12477,tt0095327
Gravity,2013,gravity,gravity|2013,dae6e2319f190d38fe16a74667d62901,49047,tt1454468
Gray's Anatomy (1996),1996,grays anatomy,grays anatomy|1996,c81e5eae0bd4b7c94eb044206fb71488,32686,tt0116447
The Great Beauty (2013),2013,great beauty,great beauty|2013,11ab07f2054821aebfe60911fb3acf18,179144,tt2358891
Great Expectations (1946),1946,great expectations,great expectations|1946,a1d9b76c0dd9e7f0a22ac61e9399cd76,14320,tt0038574
Great Expectations (1974),1974,great expectations,great expectations|1974,d31e0c52b6f1c368efda70bdca9fe7f2,47698,tt0071576
Great Expectations (1999),1999,great expectations,great expectations|1999,7060ea4a3efa840eb6233544961788ca,16075,tt0167187
Great Expectations (2012),2012,great expectations,great expectations|2012,73eda6a302d0be92821c96331036a83c,121674,tt1836808
Greater (2016),2016,greater,greater|2016,73f0dd5561cdfc92d5d4df5c44592cef,379441,tt2950418
Green Book,2018,green book,green book|2018,a0f5269342c9e7d862a5391e0d06f783,490132,tt6966692
The Green Knight,2021,green knight,green knight|2021,ecff83ddeb887160ab9094deeaccc593,559907,tt9243804
The Green Mile (1999),1999,green mile,green mile|1999,b0433a2d11028838e918d4fc22d9be7d,497,tt0120689
